category_name,description
General Knowledge,Trivia about general and random facts
Entertainment: Books,Trivia about popular novels and book characters 
Entertainment: Film,Trivia about popular movies and movie characters
Entertainment: Music,Trivia about popular albums and singers
Entertainment: Video Games,Trivia about popular studios and video game development
Science: Nature,Trivia about scientific nature and elements
Science: Computers,Trivia about computer related science and systems
Geography,Trivia about random geography facts and countries
History,Trivia about historical events and historical figures
